,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,208264.80438855977,16945.861070528917,718.9681809333463,718.9681809333463,718.9681809333463,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,20545.65057050113,1334.0199503746203,55.54429222065083,50.15339619447599,47.64156452312116,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1840.2552880524192,127.86736652197906,9.798104207008102,8.983851956603504,8.564461552243383,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2477.8426331644564,181.3541537620753,15.428743432240422,15.312008074410011,15.312008074410011,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6990.549539300221,2455.14904534398,95.86380304954244,95.86380304954244,95.38120445695864,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,286.33255397017484,105.03030089872755,4.734588538024616,4.734588538024616,4.734588538024616,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,33.19952294358819,13.854965122037733,0.4546909297659163,0.4546909297659163,0.4546909297659163,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.71465896427147,3.956928279751382,0.11715557293181124,0.11715557293181124,0.11715557293181124,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,12.1563117098794,5.936876571194528,0.1955613511872647,0.1955613511872647,0.1955613511872647,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,16.2333683884307,6.537398155516275,0.5058313490206026,0.5058313490206026,0.49918579262142043,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.800185090771013,0.684889993549433,0.0253353273812576,0.0253353273812576,0.0253353273812576,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.31942210307315,8.627262014601708,0.3350613692529466,0.30687967928617144,0.27826879181733855,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.958056640790172,2.6945369913221238,0.670555907159601,0.6498190302396608,0.6356960642506766,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,20628.0,1102.0,1091.0,1083.0,256609.0
