,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205297.0202676573,17422.001907575395,609.7920997768567,609.7920997768567,609.7920997768567
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21623.255897789928,1398.0993948615974,59.171032802312446,51.953336677211155,49.58112531493865
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1890.978399061242,122.5696133437379,7.475645350211248,6.85633042886785,6.67054795946357
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1740.8031371606867,108.44930912410696,11.204070449392226,11.078962064609017,10.982249854269124
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2856.2518085390457,508.7539021460369,22.87214439410198,22.727490034840812,22.727490034840812
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,84.52112058329652,20.492748259285406,0.8434079834187398,0.8434079834187398,0.8434079834187398
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,129.4118009817783,67.20587404730296,2.0293876118462375,2.0293876118462375,2.0059551042658943
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,41.971786134669806,23.44741717236375,0.8655773041025389,0.8655773041025389,0.8655773041025389
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.16881516968525,17.96439143612821,1.0516272683559045,1.0502311484996367,1.0453395045454683
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,65.03302840574865,33.70058416109707,2.839525412796572,2.8382434056998025,2.827315230304417
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.018876324096818,1.9088667866545723,0.08528299250142374,0.08528299250142374,0.08467977990216843
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,85.7277634959647,27.995142835705426,1.2805006211796277,1.1707111125045706,1.0578935523898993
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.57327819158995,1.7047272707105323,0.22588229125630715,0.20447100702381288,0.18933117939523983
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,252182.0,19780.0,1022.0,1012.0,997.0
