,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,201858.413288472,17096.983589313826,604.2382740441592,604.2382740441592,604.2382740441592,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,21181.178143063724,1371.2827371882154,57.989104056773456,50.771407931672165,48.50018583987946,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,1858.203202470459,119.34716567694463,7.234591180458057,6.61527625911466,6.42949378971038,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,1715.0983275540866,106.36314452507781,10.814254820252629,10.68914643546942,10.592434225129528,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,2808.8347479108234,500.1391592582487,22.60474619597156,22.460091836710394,22.460091836710394,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,82.81593384425611,19.901289310908417,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,127.15406382007103,66.19707207714433,2.0015520831882045,2.0015520831882045,1.9781195756078613,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,41.467323142884425,23.132055630506372,0.8547823170834788,0.8547823170834788,0.8547823170834788,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,32.713821653710035,17.714788485375355,1.0348676358356044,1.0334715159793364,1.0285798720251678,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,64.13362048487399,33.280962838148675,2.8040925054852215,2.8028104983884523,2.7918823229930663,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,3.956094899875165,1.8786520997974632,0.08363433796919312,0.08363433796919312,0.08303112536993783,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,84.3297984038547,27.621385763921992,1.2674742422763492,1.157684733601292,1.0507078691902074,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,26.083032284695598,1.6833646164250144,0.22234883089720908,0.20093754666471483,0.18579771903614176,,,
Data,1414872.0,1414872.0,,,,252182.0,19780.0,1022.0,1012.0,997.0,1283242.0,1192162.0,1159898.0
