,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,946146.2198330346,941626.2849471899
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,80082.67002541054,71595.46183095548
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,7181.411099504724,6479.404941371592
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,11868.512123722798,11824.14364067793
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,17079.75394303568,16985.09753234445
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,732.2631211556657,691.8918773481025
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,174.8152243651434,173.84071902221373
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,53.80155294056233,53.33087448143762
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,51.9378281754858,51.517668854211614
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,89.82628007479217,89.23659086573235
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,7.558739787300631,7.49623102954911
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,215.55681403122804,186.4091936517374
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,97.55254145751255,81.43275881771055
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,1145892.0,1130615.0
