,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_up < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,215806.2689334493,198868.42023529642,192303.82296569436,191973.75021294726,191042.42207732578,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24945.741912568654,23345.68716199349,22177.331312116552,19523.163929342034,17533.91364425327,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2201.3895621111137,2064.849937260259,1939.8168932729598,1751.232901937751,1585.090661150272,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2799.5147507226984,2591.011213234868,2407.420133903164,2401.2032913048793,2393.7796884394493,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,6778.474290234325,4524.090538701682,4332.513676746479,4322.198635126906,4300.356692274302,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,275.22422951712326,182.655804484864,171.65945251289014,163.6120604025719,157.39047212540638,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,44.05347075925886,24.565056128748346,23.81625462122459,23.7151982989703,23.495829576742814,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,13.315480214746206,6.961703363577296,6.82677803109704,6.778608291249386,6.7114105170945795,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,14.905684289919096,7.418734037904024,7.093450469197016,7.087218134194253,7.025096593538419,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,23.379322360977707,13.108024507247343,12.153281567844825,12.122230186065957,12.009216705122942,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.215135153482456,1.3638787656288787,1.3196431208755486,1.3142620668838614,1.3026959792013006,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,64.7295818490457,52.65217840471229,50.305444761547825,44.07313977460589,38.393951375989104,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,32.67476913579951,29.89797822902009,25.717282456150304,20.939745325989364,17.102172098004054,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,237860.0,225791.0,222256.0,219160.0,257195.0
