,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,216949.96391825774,199691.74265581215,193204.36374903543,192935.73521032138,192012.6994132956,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,24367.09560897135,22852.78130287632,21707.867996546993,18589.375595449168,16729.583394528585,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2215.5570485912194,2079.6050929930257,1950.7594332174824,1729.8287324360497,1570.5737630677258,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,1976.6746590085647,1860.9221537701612,1705.8719074468838,1701.392568437534,1694.5340721380148,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,3101.6566101586454,2585.9120168193426,2469.0784309061874,2462.7343374885563,2447.743615595764,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,80.1812976097377,63.565056418265954,62.336454478562615,57.15505184844721,51.966502758301836,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,137.18466382497598,66.63285581400632,64.62747344814964,64.48339819337286,64.01647167254463,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,47.99029581908906,21.20265128011279,20.444095041467108,20.34157478792222,20.14070841268554,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,37.77566772647417,17.57569294242292,16.571596852808042,16.53193126591697,16.387294917052774,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,73.69249997830161,35.76888263480231,32.978962777262296,32.91049555566152,32.695965646977136,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,4.516975987381081,2.411127709543888,2.308925521861946,2.301473112454618,2.283994206284001,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,100.05477182836177,67.686137300956,64.57891508966229,55.6029522418293,48.11389738916186,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,30.765860391091874,29.004123863370893,25.58645538135664,20.5706484998611,17.11488059076948,,,
Data,1383108.0,1383108.0,,,,250856.0,232894.0,220934.0,216868.0,213893.0,1270702.0,1193818.0,1182302.0
