,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,218424.31888178393,17449.272054984627,458.5038476142194,458.5038476142194,457.8860909149556
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24108.317052319453,1502.0065235447412,68.59543796939313,62.26931509662829,60.722558116055794
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2151.9601030370363,127.10447223308714,8.929845222833078,8.710746047067152,8.087706743285919
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2613.743411446351,188.73618052783786,13.772513884200302,13.772513884200302,13.772513884200302
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7398.277771693639,2528.5420314084618,98.17566215649205,98.17566215649205,98.06176268839636
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,302.07998863513325,106.48789439930077,6.233296181562136,6.233296181562136,5.731087102158003
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,33.67687501109438,13.49014630413958,0.3781491555821225,0.3781491555821225,0.3781491555821225
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,9.649882595314663,4.4752185289366775,0.17974136503036098,0.17974136503036098,0.17974136503036098
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.570759325072986,6.054062491547461,0.21890173325747245,0.21890173325747245,0.21890173325747245
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,17.751262475053203,7.074331210637419,0.593669963918015,0.593669963918015,0.5917209791843049
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9962389740300561,0.7098580484061654,0.023400591473055253,0.023400591473055253,0.02311203384115504
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,60.67597155235932,9.920753045875191,0.4483633173835734,0.41580341815008504,0.37027905116141896
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.981021331135942,2.7594859950699586,0.7041226079312628,0.6777967486796862,0.6406588065260143
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,257195.0,19335.0,975.0,965.0,954.0
