,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_down < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,218178.43850463128,17427.81329020561,454.55510681152396,454.55510681152396,453.93735011226016,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24174.944929212288,1507.7490544822097,68.41257781357449,62.086454940809645,60.53969796023715,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2156.9918023918303,126.73959782067419,8.771924666628506,8.55282549086258,7.929786187081345,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2604.120188022039,188.02458292397654,13.772513884200302,13.772513884200302,13.772513884200302,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7372.590398577703,2515.9662523576585,97.68238835995811,97.68238835995811,97.56848889186244,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,301.413026571952,106.28440748796908,6.233296181562136,6.233296181562136,5.731087102158003,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,33.6959157804076,13.471232275687683,0.3781491555821225,0.3781491555821225,0.3781491555821225,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,9.627980845008196,4.485209339492939,0.17047586724195685,0.17047586724195685,0.17047586724195685,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.489792229502083,6.0134056013337185,0.21918862720442586,0.21918862720442586,0.21918862720442586,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,17.68078371185669,7.035868151306062,0.5791144307346757,0.5791144307346757,0.5771654460009656,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9889647408098832,0.7056925308944753,0.02346400523538318,0.02346400523538318,0.023175447603482967,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,60.74937257688625,9.932488522440305,0.4506318231377981,0.4180719239043098,0.3725475569156437,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,32.02160901104921,2.749782043380203,0.6911259813837383,0.6648001221321618,0.6276621799784896,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,19335.0,975.0,965.0,954.0,257195.0
