,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29746478562898,12.276824134383794,12.272119845639592,1.8872218034762862,0.8758790222257171,0.44998685711315267,0.4489452877023943,0.4452615536766267,,,
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,121876.53194350224,112471.86659913207,109605.34301260198,109485.09554460653,108987.851383022,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,9428.117732808054,8810.982621395842,8410.734073889762,7388.744388061015,6658.742504219982,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,831.8967773896197,774.1073775496985,735.5797557189562,673.7648700546622,613.9875242386421,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,1362.4066591197025,1266.556036736909,1202.344912973389,1199.067730881703,1195.2623671796493,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,3136.6930686304563,2089.822935484713,2018.8330440956329,2014.38402488967,2004.550654317276,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,125.15831626359326,81.83742472756792,78.47404667503584,74.46844089190492,71.5271751188815,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,14.981604673864704,9.388213199348055,9.280563854948092,9.266072078284374,9.182885847150917,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,4.157152227108506,2.3226857888144807,2.2722388083425793,2.263586730399933,2.2577094645047193,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,5.147472092299735,2.5336079241606644,2.4258033728610506,2.420061146937056,2.3860804707008536,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,7.292025844398702,4.238926290437885,3.9802097935695793,3.9746339679123697,3.9470591342041574,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,0.7939825093932485,0.48904372185214373,0.4733781365917151,0.47130768211369745,0.4658142298389204,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,23.026130196763383,18.959894275596643,18.188429766885697,15.87347047518642,13.963862418717696,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,12.089033351767254,10.93688619294592,9.536151466677179,7.641168685133733,6.3979946810741355,,,
Data,1047903.0,1047903.0,,,,123461.0,114757.0,109564.0,108079.0,106711.0,786824.0,657428.0,558947.0
