,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29746478562898,12.276824134383794,12.272119845639592,9.731372365875753,3.6168484684597706,1.8623488654359808,1.8590389049073122,1.851469554208342,,,
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,121623.17745699568,111563.10283447854,108289.69512793113,107987.473458104,107569.87100029862,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,9576.517742536886,8933.912745063039,8533.978433907405,7365.69091361201,6654.670824806917,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,839.9078090049161,772.8843367236279,735.6525735333066,656.6797911249048,594.979387659901,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,904.3749625339528,847.6099929649829,791.9984313361313,790.0417584996362,787.4087612140195,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,1382.0653515324236,1132.2555663477037,1086.3507725468162,1083.1039342117624,1076.6175808690273,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,41.75796135180115,33.03555937611892,31.332327973159884,29.448353041976418,28.41954277315581,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,53.36334759369516,25.488830410203853,24.947130965632237,24.923392605740005,24.851721925812367,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,16.196416054128605,7.196560517845069,6.989764962182427,6.969206323303336,6.928986048492918,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,13.794505842546,6.590885980752246,6.282141898783014,6.267206952876662,6.230931032458345,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,26.595380741165407,12.980293177534854,12.151834425680244,12.117202483477184,12.042825147163164,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,1.6528096821854281,0.8865711906125584,0.8520031880201517,0.8504199041803477,0.8439622334652783,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,35.80509170614285,24.373164207950325,23.335455000737397,20.244761020269532,17.526258810691168,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,12.160585129656468,11.335487604538242,10.106634442579594,8.140143018700105,6.7800533415855195,,,
Data,1047903.0,1047903.0,,,,121852.0,113523.0,108395.0,106670.0,105292.0,786824.0,657428.0,558947.0
