,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.064621927559317,3.378308134582575,1.7431667513645133,1.739906469095986,1.7326528972320774,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121421.72909483308,111398.86303421565,108179.16778656635,107894.87291656854,107467.08471594838,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9626.400108221718,8986.848337798037,8583.234644285485,7425.072010847066,6710.402852873917,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,838.9546637045058,774.0588109705016,740.2002202693012,663.2929130577307,600.3330490410024,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,921.0169149982357,862.912516357289,807.7477009484833,805.6528275956907,803.3497270442218,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1488.2854442218832,1192.6342279193343,1145.485678036539,1141.91528662339,1135.1880335198555,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,45.547979081431066,34.5317028360762,32.8544176487756,31.101458392255758,30.097245292633644,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,49.395810398580274,23.927635128536316,23.415022797213805,23.391284437321566,23.335340224986602,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,15.066760529246428,6.745235758852731,6.562244382663105,6.541685743784013,6.5014654689735965,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,12.931946887452927,6.20192167549726,5.91084326015303,5.901387561937245,5.868299301237645,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,24.72219616633285,12.09295622158255,11.32896944305681,11.297384111453738,11.225191346506243,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.5811609140648482,0.8532132024652825,0.8197587312293584,0.8177904677768713,0.8106537383956275,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,34.73465319036491,23.945495060563516,22.919685731619765,19.909940633111486,17.276260421040032,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.034794194035623,11.208657780562826,9.993929247016151,8.034707333971975,6.713408087382586,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,113523.0,108395.0,106670.0,105292.0,121852.0
