,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.739412266014012,3.619753413371044,1.8662286030852508,1.8629186425565822,1.8553492918576118,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121409.62939665302,111377.05101556727,108093.10939362552,107790.8877237984,107386.13585346445,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9587.75262322649,8945.875383120472,8545.457755256875,7380.042732434631,6666.63176894196,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,837.6011621604182,771.0062683923101,734.1597912563406,655.3128660527938,593.9406625753352,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,900.3496102553597,843.6584468607693,788.3737357014137,786.4170628649188,783.971605750736,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1369.308977098015,1125.8791213866652,1079.701234440946,1076.718054926458,1070.247892239635,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.46785568018681,33.06855104872028,31.365319645761254,29.481344714577787,28.452534445757177,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,53.375661788959874,25.397025827704987,24.855326383133374,24.83158802324114,24.759917343313504,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.106465268437507,7.13950783850108,6.932712282838439,6.912153643959347,6.8719333691489295,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.811469215953291,6.590734159778156,6.281990077808926,6.267055131902573,6.230779211484257,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,26.604527780435436,12.961718147461454,12.142375922309538,12.107082918253061,12.0319427019752,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.6576422738652306,0.8877442761481349,0.853017666869551,0.8514343830297472,0.8448383842304935,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.91858782819024,24.446860183741226,23.41131839270919,20.321291590535683,17.590319717000185,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.172515233505758,11.356763214107966,10.130703416799115,8.157217852482376,6.7837903167127385,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,113523.0,108395.0,106670.0,105292.0,121852.0
