,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29839718720017,12.27773802809591,12.272812613011945,9.731628056494342,6.114547155014278,3.101603688106123,3.098390488293133,3.0902341814868333,,,
QCD,717986.2168149389,956785.8146709631,726861.2686689944,631733.68895987,548486.0254915995,121295.30047813742,9992.41022424388,381.2640324364068,381.2640324364068,381.2640324364068,,,
TT,63126.80979180278,63126.80979180278,52180.64882571194,44474.013556633756,40779.74481033034,9509.463995618828,637.6732128549227,26.251368107376464,22.951323535570843,22.309722965625493,,,
ST,5417.824558008515,5417.824558008515,4410.108840782719,3887.2354206342284,3588.726731660046,834.3453053845999,65.98866741686953,3.315039502725968,3.0585409754236053,2.921321114039702,,,
W+Jets,9487.889178263631,9487.889178263631,7766.534060225604,6861.006997181592,6200.111084590705,899.5151424486058,55.54890220967154,4.744310810748418,4.744310810748418,4.744310810748418,,,
Z+Jets,12055.822300436781,12055.822300436781,9632.876880406508,8529.350203837557,7669.377366625927,1373.5380158619382,247.31947836666544,8.514029562827572,8.514029562827572,8.514029562827572,,,
Diboson,544.751536187187,544.751536187187,446.7012941571987,405.6090965809698,365.4378053457647,41.67374070646608,8.804868305843708,0.0817828490005958,0.0817828490005958,0.0817828490005958,,,
ggFHbb,120.74204174793252,120.74204174793252,99.01628386370527,84.05390007921997,73.97794031096234,53.11638643690624,27.750233957861887,0.7566098625968669,0.7566098625968669,0.7566098625968669,,,
VBFHbb,32.24173303425971,32.24173303425971,26.91193918763821,23.83256642772014,21.833140058460792,16.094812287217657,8.95788982855383,0.1966750232929772,0.1966750232929772,0.1966750232929772,,,
ZHbb,32.70020301080715,32.70020301080715,26.726592651811874,24.344331060276595,21.82289402707317,13.759523996100626,7.187307026539598,0.3881837205619354,0.3881837205619354,0.3881837205619354,,,
WHbb,56.014320595270185,56.014320595270185,45.540006597014084,42.10793858660798,37.8562894671351,26.48488515834791,13.565878910347674,0.9940035089526865,0.9927194003694981,0.9866812439054714,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.999470476936972,3.535557587649001,3.2344200398911394,1.647392133366562,0.7646038963719575,0.030041093168629452,0.030041093168629452,0.029516235819665042,,,
ttHbb,156.9411921655786,156.9411921655786,132.3045815648638,113.85802878364558,107.51272262887578,35.62805269975323,11.392172380501457,0.48724773472851696,0.4615485163954913,0.40902425339127757,,,
HWW,80.56791059341468,80.56791059341468,68.00471856066271,57.11598631015099,53.521453867681764,12.050843956351038,0.8219049244812684,0.12973606215192027,0.12595536462715373,0.12056605484623001,,,
Data,1047903.0,1047903.0,,,,121852.0,8329.0,369.0,366.0,361.0,786824.0,657428.0,558947.0
