,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664085638901748,14.634663743387257,14.627350362876811,2.304522161805335,1.064040635042328,0.5616751778738814,0.5609570736694047,0.5572762547773058,,,
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,150683.81785096406,139375.99248473695,135417.789933883,135238.64758000846,134689.0075265877,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,11222.783536003215,10447.994867684709,9950.840639057069,8789.554554058243,7929.914008613853,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1009.8654704438957,927.4956340547195,881.4083976076843,801.3774118852521,734.5237537442455,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,1719.6299311998848,1595.3897249543347,1510.916901046145,1506.9126072289769,1502.996769741421,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,3693.1239769498934,2446.3217168440597,2366.670651806442,2360.7911271423723,2351.7185510419904,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,174.5112397606958,115.4133475100725,109.70702282796745,103.27574131264205,98.52171228084627,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,15.079548404524575,8.870851721159159,8.556726384441571,8.542146009561243,8.458050041127017,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,5.172884700993567,2.7682720193925143,2.7040136894677422,2.678939963981028,2.6589707257063973,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,6.182883347923769,3.048547740344823,2.937205489806596,2.9222452855384047,2.9041572883735474,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,8.348636357333678,4.894778919559635,4.556412638197882,4.538612392493949,4.514097717304702,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,0.9215487225413388,0.5730909479369872,0.5573590273521447,0.5562025917460112,0.5529396810742709,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,27.223829198856773,22.365221813079263,21.392393122453285,18.629106936328128,16.357784795578432,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,14.930475419075693,13.502303773950878,11.71550755325339,9.541958685722603,8.11760687630704,,,
Data,1331012.0,1331012.0,,,,148881.0,137907.0,130877.0,129236.0,127724.0,964614.0,800395.0,681593.0
