,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664085638901748,14.634663743387257,14.627350362876811,11.50351860827519,4.2690389773886634,2.2189495264151184,2.2144195877543735,2.2060870707353866,,,
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,146984.96896734118,135682.47501266294,132268.52718858825,132030.3372520089,131576.60472415644,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,11432.47364141435,10626.619640547186,10126.506671664474,8764.40230451762,7922.06200963581,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1015.3863855036107,954.7631804212496,907.7069311956666,807.0875757520035,746.323385612297,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,1185.0182013933108,1111.9476582131383,1042.7351571471586,1039.9208611597019,1037.022049596967,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,1629.1504758140122,1335.6228581415876,1283.5618420466071,1280.3654815848033,1272.7542452036419,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,45.943519980019545,34.97043425353518,33.08492052286421,31.397839708369442,30.77773440391819,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,59.941016270736824,29.10690190661412,28.51953596538265,28.41064305779514,28.208927871895906,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,20.193897943680792,9.21101040305939,8.954088501267613,8.930109971180011,8.885799173057315,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,15.726670193031126,7.20698381951914,6.815744451992773,6.795536387613613,6.76099136121352,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,30.592841400838203,14.766947865663987,13.824976493136369,13.805758050455895,13.743876019779606,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,1.9940781506780934,1.0200366471859401,0.9826438076933972,0.979968141888035,0.972526344809853,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,42.33178855717425,28.70316125781026,27.415568881780402,23.801599622510604,20.617542061764542,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,14.762686420380229,13.703886024755025,12.158540912755962,9.777708629945106,8.166200027992513,,,
Data,1331012.0,1331012.0,,,,146205.0,136050.0,128926.0,127045.0,125535.0,964614.0,800395.0,681593.0
