,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,11.691855137220097,4.342319969832791,2.2554774280821324,2.251332021871928,2.242802094487578,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147391.77489536133,136197.5644082913,132791.1793058954,132547.63274899952,132094.3326204357,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11454.766285234835,10643.826310043245,10144.574229935793,8772.756085051302,7925.538649591413,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1028.239355855719,967.6090522665822,919.6092842395517,816.2646539464233,755.6375774087234,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1182.6510577610475,1109.3166269068934,1041.8860867097656,1038.9000600355012,1036.0221607568049,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1594.8641012905177,1315.613632337299,1266.230843145882,1263.2049924437433,1255.411061670349,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,43.848057154100914,33.95805795115106,32.32106594580061,30.4766948762477,29.975176406742065,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,61.05454860302809,29.58224506560239,29.009607128667923,28.88613384620009,28.67107780361941,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.542045701341742,9.233278052292759,8.962354585258439,8.938376055170838,8.89406525704814,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,15.971906374460577,7.335495118445836,6.940600256742682,6.918577642402095,6.884706328090148,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,31.227931743994503,15.054286646453736,14.060649725028075,14.041431282347602,13.9737536432736,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.020319696980667,1.033471187822665,0.9958975067391413,0.9932218409337792,0.9856612155069449,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,42.55854542591239,28.75433864631446,27.4590892705854,23.852119808948853,20.66142401260185,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.897512323603722,13.815787304377231,12.284899471747437,9.84929792127576,8.228518630390784,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,136050.0,128926.0,127045.0,125535.0,146205.0
