,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664260411097093,14.635072220961053,14.627608295073381,2.30448681337518,1.2405078940595478,0.6082243704130049,0.6077170013557216,0.6063567599385541,,,
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,151197.9406455322,11394.633885110608,463.3937525238179,463.3937525238179,452.90933612340194,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,11268.064649149395,777.4999320561699,32.90481977791964,30.002577421886482,28.31026697638285,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1015.3332517847475,82.67705764991703,4.825157943513236,4.481382039067947,4.481382039067947,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,1725.5322397370903,124.29621826290673,8.441594208879712,8.441594208879712,8.441594208879712,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,3706.0951248263555,1250.1259251599122,40.24990135446061,40.24990135446061,40.24990135446061,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,175.41141627211124,59.23654370787075,3.3012435820194375,3.1774902921447596,3.1774902921447596,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,15.228025323195963,6.275756114004436,0.15309924370975464,0.15309924370975464,0.15309924370975464,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,5.200573066703498,2.4161469541492697,0.05442172740217169,0.05442172740217169,0.05442172740217169,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,6.179398672372831,3.128689747817363,0.09861047904586367,0.09861047904586367,0.09861047904586367,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,8.374235464458142,3.4606647512989124,0.2444925285670445,0.2444925285670445,0.23482140785714514,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,0.9229839972952001,0.3496562675199365,0.012856104434532403,0.012856104434532403,0.012526327353006246,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,27.264483526197463,4.864015885495377,0.21363993530699937,0.20184559020328185,0.18351323654263454,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,15.007553588022295,1.4309590539217443,0.3089446459903427,0.29434053385452114,0.2852286587162338,,,
Data,1331012.0,1331012.0,,,,148881.0,10974.0,574.0,571.0,566.0,964614.0,800395.0,681593.0
