,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664085638901748,14.634663743387257,14.627350362876811,14.60714699470919,14.567005240388768,,,
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,675842.4381121,673560.1758690277,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,43659.17772171112,39319.65844420122,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,3956.252076174406,3617.6081644131505,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,7967.168503447746,7946.886860585734,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,9191.098671321099,9154.118218982552,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,435.8104553174466,415.53869857237686,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,82.38532484783155,81.86906105512145,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,27.311183030477075,27.21265585900567,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,25.279014865476164,25.144446263737194,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,43.78213315656516,43.55522458914956,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,3.882075082642107,3.8560992684033675,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,112.3140703185116,97.8155535313148,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,54.319024495246914,45.838140430137216,,,
Data,1331012.0,1331012.0,,,,674802.0,667154.0,964614.0,800395.0,681593.0
