,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.661712998978118,14.629831302332667,14.622636637998827,14.602598321759457,14.56245656743903,,,
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,657427.4079238074,655197.9903731339,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,42666.55992428708,38443.73662953828,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,3873.5465988481787,3543.330434522372,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,7789.605248723599,7770.195726966087,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,8977.117112020787,8940.972256088564,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,426.925499028767,407.13715265919757,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,79.95881115599155,79.44254736328143,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,26.8059480048614,26.716389217681666,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,24.707937859634495,24.58133688125798,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,42.83798375739056,42.62274344905644,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,3.793334372272178,3.7678996768377804,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,110.01476016681968,95.86779352207368,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,53.298855727622836,44.98111616253573,,,
Data,1331012.0,1331012.0,,,,674802.0,667154.0,964614.0,800395.0,681593.0
