,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.666859179111984,14.639694914964442,14.632642071239111,14.612356885207413,14.57221513088699,,,
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,695988.4899951556,693593.140736949,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,44761.962319034516,40277.72154497514,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,4044.8709571396694,3695.1442565149364,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,8155.3883639231535,8134.8982821505215,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,9422.087104945356,9383.680791639708,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,445.48839291923827,424.7432513655491,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,85.27714808159891,84.74272516949995,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,28.142808257405342,28.044281085933942,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,25.846059337440835,25.707531159210546,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,44.83755676823385,44.60632896992805,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,3.9585825896910216,3.9319055014583864,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,114.72649387030131,99.8823515354876,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,55.583702633889054,46.86799484034874,,,
Data,1331012.0,1331012.0,,,,674802.0,667154.0,964614.0,800395.0,681593.0
