,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.654355366496335,2.092284147860246,0.9925695096891867,0.991020389874296,0.9827985168614921,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,208264.80438855977,191318.94331803086,185512.63362596976,185109.49732725706,184205.1379726514,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,20545.65057050113,19211.630620126518,18288.601209255696,15937.051709314674,14251.335546296317,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1840.2552880524192,1712.38792153044,1615.8924724700153,1448.4606006568451,1304.8696117287848,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2477.8426331644564,2296.488479402381,2134.918579228596,2129.176571162881,2118.900523466394,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6990.549539300221,4535.400493956241,4346.199410356717,4336.889793900398,4312.940557642865,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,286.33255397017484,181.30225307144727,174.48650194241048,164.42573670872332,152.51176915538872,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,33.19952294358819,19.344557821550456,18.879814618343286,18.842786346348454,18.626534088022797,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.71465896427147,4.757730684520089,4.67138149156117,4.6418037495121975,4.53843286130466,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,12.1563117098794,6.2194351386848705,5.918816532194628,5.911716932969602,5.8290002318439775,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,16.2333683884307,9.695970232914426,9.029112693692166,9.005158933268941,8.912550138262606,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.800185090771013,1.1152950972215798,1.073890352944645,1.0712522543318812,1.0617338730105481,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.31942210307315,42.69216008847143,41.04298372125521,35.71133638681348,31.179284880004058,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.958056640790172,24.263519649468048,20.96775290102555,16.89415808619486,13.897894504070377,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,235981.0,223959.0,220553.0,217416.0,256609.0
