,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.982213548336777,30.937417472865732,30.93082292095139,4.659093013762212,2.5563735997834556,1.4227979701499507,1.4216260645103884,1.417971949672057,,,
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,204120.64291430594,16631.006661910436,689.3396360776289,689.3396360776289,689.3396360776289,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,20493.661539378525,1328.5957114293788,56.27885665388892,50.76219623037126,48.35481109867256,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,1807.4817689120127,127.64981488977969,9.353647709813826,8.539395459409228,8.12000505504911,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,2381.451058789109,172.77168095442153,14.810827607297238,14.694092249466827,14.694092249466827,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,6766.013633533021,2356.452620287946,91.75728256293594,91.75728256293594,91.27468397035216,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,272.5632518937052,101.95742216178988,4.077403909922525,4.077403909922525,4.077403909922525,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,31.495019969444627,13.04165837641851,0.4546909297659163,0.4546909297659163,0.4546909297659163,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,8.388277993563216,3.8509029955356686,0.11715557293181124,0.11715557293181124,0.11715557293181124,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,11.585450969129397,5.626652086478755,0.19276446462221675,0.19276446462221675,0.19276446462221675,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,15.64927652238703,6.220151477210022,0.4751765711792162,0.4751765711792162,0.4685310147800342,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,1.7362852578031065,0.6474118766812313,0.023730342716218645,0.023730342716218645,0.023730342716218645,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,50.72790623500081,8.430094719331269,0.31455117514388076,0.2843476387744937,0.2581632819438658,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,26.77897106691785,2.6343359076558652,0.6436863330710789,0.6237775277623194,0.6103655865780062,,,
Data,1414872.0,1414872.0,,,,256609.0,20628.0,1102.0,1091.0,1083.0,1283242.0,1192162.0,1159898.0
