,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_down < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.684557146200908,2.5726022804572217,1.428589613241819,1.4275094508355908,1.4240264625703198,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,207226.84081913618,16886.042676459394,727.1366723733167,727.1366723733167,727.1366723733167,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21155.768462333453,1367.2514001341267,59.3208858014946,53.13223030432964,50.77890983342693,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1859.887216795563,129.87351779645522,9.488272244885666,8.67401999448107,8.254629590120949,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2360.6793474294777,171.33539620039537,14.11527996518063,14.11527996518063,14.11527996518063,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6747.033227264918,2325.660951582795,89.82135942924893,89.82135942924893,89.42432214953135,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,269.71294300388973,100.14422158241807,4.280774413348092,4.280774413348092,4.280774413348092,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,31.54986645611391,12.87714039535337,0.4736940109864053,0.4736940109864053,0.4736940109864053,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.393603682900679,3.7051747903750503,0.08979392090261652,0.08979392090261652,0.08979392090261652,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.48677341720784,5.534992279758898,0.18875233199552183,0.18875233199552183,0.18875233199552183,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,15.435315711299827,6.084269209132186,0.4709829010590277,0.4709829010590277,0.46433734465984566,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7251597061778425,0.6389172084591429,0.02371676951252909,0.02371676951252909,0.02371676951252909,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.80733379034062,8.448781616025764,0.3234551465655312,0.29049052070124176,0.26742848483321774,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.563656473647868,2.669318034239753,0.6322980544304084,0.6129444584087218,0.5960856288753436,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,20628.0,1102.0,1091.0,1083.0,256609.0
