,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98766887037498,30.94950193397809,30.94456120213139,30.907352145522445,30.800574468847394,,,
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,959074.8472022953,954496.0330297684,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,81024.07474164767,72406.19423994739,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,7253.780681654384,6543.9786657640025,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,11991.843282687323,11946.604170613913,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,17278.042512202093,17182.134276187706,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,738.8362935482264,698.4650497406632,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,177.09368060625314,176.07133991962164,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,54.45707252941906,53.98639407029434,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,52.51969439422824,52.090433209795066,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,90.71750160271979,90.12129570290533,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,7.631158015676315,7.568093871204922,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,218.00244644803797,188.42226364852922,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,98.65155634225789,82.3297130255385,,,
Data,1414872.0,1414872.0,,,,1145892.0,1130615.0,1283242.0,1192162.0,1159898.0
