,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.473150080174825,40.408783740514195,40.40348122707436,6.284810411659596,2.8450931434625724,1.3444894827915912,1.3427001684974609,1.3325640599891901,,,
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,214264.20728064416,197159.69038113815,190833.90822948102,190490.20802683258,189575.634191369,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,23642.59444341212,22166.68383225407,21073.01911883174,18473.259733476047,16619.250660865924,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,2108.6221430606315,1984.3292764101097,1859.680683185133,1674.5056485725052,1518.2857516278166,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,2567.0477376354734,2380.9429043877058,2211.1066911898333,2205.164777323688,2198.404096727757,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,7270.795285380209,4782.832404843635,4584.6972169915,4573.191845088246,4549.991836001511,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,296.7496300340882,191.58173467280218,176.98820777510662,169.60690127936147,162.1525455993636,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,33.157980017322174,19.92400037189021,19.231125252080524,19.136726113386196,19.00781775555175,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,9.514573982268912,5.0919055663386885,4.935607502519323,4.913230314263407,4.864764818282306,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,12.330995078263339,6.38364264769967,6.134230809098614,6.125069470499301,6.066258779821821,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,17.427491583820327,10.461068295918384,9.711149980763711,9.679846251554164,9.592819655727059,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,1.9630668487016765,1.2671672080400427,1.2277782705195903,1.2220466960647687,1.211728506870883,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,59.56759335196002,49.815580547640934,47.60936631037095,41.66969002767135,36.43253028417174,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,31.381554743961956,28.668765299415117,24.642978292670847,19.85970815127547,16.40335087434606,,,
Data,1383108.0,1383108.0,,,,257195.0,237860.0,225791.0,222256.0,219160.0,1270702.0,1193818.0,1182302.0
