,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48299599979646,40.42663543354845,40.42306662682575,6.29026250764078,3.441004853521954,1.932351587680198,1.931102063400142,1.924343187589501,,,
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,218313.96758597778,17464.358681694608,461.535834724375,461.535834724375,460.9180780251112,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,24081.026452008227,1499.259104194343,68.51899742759903,62.19287455483418,60.64611757426168,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2149.1347500753122,125.97276856346124,8.929845222833078,8.710746047067152,8.087706743285919,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,2611.9248737790663,188.65339817618502,13.772513884200302,13.772513884200302,13.772513884200302,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,7390.681396263135,2525.493326774616,97.92957243184668,97.92957243184668,97.815672963751,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,302.3848688354907,106.8558138529494,6.233296181562136,6.233296181562136,5.731087102158003,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,33.68039269267501,13.479728841799385,0.3781491555821225,0.3781491555821225,0.3781491555821225,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,9.628580340037427,4.4635038921938595,0.17974136503036098,0.17974136503036098,0.17974136503036098,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,12.552268679811759,6.03997293116759,0.21890173325747245,0.21890173325747245,0.21890173325747245,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,17.751012592741414,7.075486437284755,0.5915819180457677,0.5915819180457677,0.5896329333120576,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,1.9950297011780882,0.7099265176119334,0.023400591473055253,0.023400591473055253,0.02311203384115504,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,60.63337265926759,9.91599423776046,0.4464935923379233,0.41393369310443495,0.3684093261157689,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,31.915045551773765,2.759555990011366,0.7033650334466164,0.6770391741950398,0.6399012320413677,,,
Data,1383108.0,1383108.0,,,,257195.0,19335.0,975.0,965.0,954.0,1270702.0,1193818.0,1182302.0
