,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48122773026381,40.425136401099984,40.42177334133724,6.289724444303803,3.440905775872508,1.932206420070834,1.9309568957907783,1.9241980199801372,,,
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,218355.80584014798,17425.843621646585,458.5038476142194,458.5038476142194,457.8860909149556,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,24117.329364144818,1501.9013866412124,68.44490392280457,62.09241087298848,60.545653892415984,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2153.5735869216355,127.25002180639896,8.929845222833078,8.710746047067152,8.087706743285919,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,2612.823694286308,188.77955040995187,13.624863460785706,13.624863460785706,13.624863460785706,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,7397.53461149205,2527.593692052315,98.23062435913505,98.23062435913505,98.11672489103937,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,301.8055400054242,106.35970747328811,6.233296181562136,6.233296181562136,5.731087102158003,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,33.63373336270014,13.448564299391657,0.3781491555821225,0.3781491555821225,0.3781491555821225,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,9.649882595314663,4.4752185289366775,0.17974136503036098,0.17974136503036098,0.17974136503036098,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,12.567989165932932,6.052563346114587,0.21890173325747245,0.21890173325747245,0.21890173325747245,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,17.74259479842488,7.069695987985856,0.593669963918015,0.593669963918015,0.5917209791843049,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,1.995654225675494,0.7094999228739465,0.0234550029171971,0.0234550029171971,0.023166445285296884,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,60.6963517994064,9.913245424495198,0.44724006226428764,0.41448389221376175,0.36962886976700743,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,32.0032165031488,2.7670147666061604,0.7041699135593228,0.6778440543077462,0.640706112154074,,,
Data,1383108.0,1383108.0,,,,257195.0,19335.0,975.0,965.0,954.0,1270702.0,1193818.0,1182302.0
