,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,8.993419379742383,5.2935805274452505,2.971177195803584,2.9689383859946896,2.9601153698296203,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,215806.2689334493,16937.848698152855,489.49767745975146,489.49767745975146,488.8799207604876,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24945.741912568654,1600.0547505751642,73.41956486126406,67.26442787418456,64.77087639363873,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2201.3895621111137,136.5396248508547,8.576007028860724,8.262741023783253,7.868544404466857,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2799.5147507226984,208.5035374878306,16.28842760161988,16.28842760161988,16.28842760161988,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,6778.474290234325,2254.383751532643,88.98203363330518,88.98203363330518,88.98203363330518,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,275.22422951712326,92.56842503225926,4.7245062092549475,4.7245062092549475,4.5783912508607045,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,44.05347075925886,19.48841463051051,0.5270022844977129,0.5270022844977129,0.5270022844977129,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,13.315480214746206,6.3537768511689094,0.22357085385865255,0.22357085385865255,0.22357085385865255,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,14.905684289919096,7.486950252015072,0.3784439834905292,0.3784439834905292,0.3784439834905292,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,23.379322360977707,10.271297853730362,0.8826370845819616,0.8826370845819616,0.8806880998482514,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.215135153482456,0.8512563878535775,0.03186162164918718,0.03186162164918718,0.031573064017286975,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,64.7295818490457,12.077403444333411,0.5950201500568119,0.5373865401629245,0.4818678823459295,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,32.67476913579951,2.7767909067794143,0.6564608381711463,0.6345693006131448,0.5994546947090417,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,19335.0,975.0,965.0,954.0,257195.0
