,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48831200738251,40.438563175635224,40.43559010300879,32.09014051514766,20.877545727860905,11.743172178734211,11.734270115433375,11.705331253150007,,,
QCD,1126208.5372077702,1204990.9790546389,1099336.1147222044,1036844.0848393111,1008111.0560891891,220021.74371892723,17516.894256664356,587.4048533778108,587.4048533778108,577.8397484574955,,,
TT,126178.01663528233,126178.01663528233,115918.45927403905,106593.53805175246,104938.62170419967,24847.474028525805,1539.7585326815497,64.00598261765708,58.403358909802776,55.69255160243209,,,
ST,11213.018738828068,11213.018738828068,10208.273559011384,9571.038859557377,9438.285937159068,2251.8907592038668,137.1909780824908,8.76209608480174,8.0924767939951,7.487386729098214,,,
W+Jets,15930.077126498532,15930.077126498532,14867.542368205846,14082.691219129416,13826.530236295748,1999.9548147452015,117.24905363284375,11.786767420611362,11.610645209288759,11.436406007000059,,,
Z+Jets,22772.15825578505,22772.15825578505,20954.152074153593,19867.796934357008,19475.503492886084,3147.3589883690634,523.5027642824386,20.98299817079393,20.98299817079393,20.98299817079393,,,
Diboson,1008.6650414863541,1008.6650414863541,943.5555847122603,905.2491609263145,889.0362095561452,81.08324120880312,16.694609659849874,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,209.41596660422243,192.75749921763912,187.99129530075237,139.1228547148403,71.69537372154845,2.118744079098763,2.118744079098763,2.084049198155404,,,
VBFHbb,71.28205035333777,71.28205035333777,66.95858134529635,63.678860780527096,62.576322776582195,48.68547041539878,27.15558964447905,1.0029359152332964,1.0029359152332964,1.0029359152332964,,,
ZHbb,67.12062616739404,67.12062616739404,62.544269533191866,60.27744918189762,59.032303185138204,38.157870805867816,20.38858941676792,1.2603263175065713,1.2603263175065713,1.2547534296376706,,,
WHbb,116.35029311753367,116.35029311753367,108.22893312289973,105.02386126671988,102.93753696062797,74.51988816026238,38.29120323307021,3.2841425708382515,3.2794235128341,3.272009003059813,,,
ggZHbb,10.311005316400477,10.311005316400477,9.502007335463656,8.972774631007276,8.830439394470925,4.57938151684929,2.13207838314616,0.1048385536133202,0.1048385536133202,0.1048385536133202,,,
ttHbb,354.83801865944884,354.83801865944884,323.2086442340728,296.1427331988309,293.19279355263234,101.69756970294354,32.789053402715155,1.4736489873467846,1.3164751425467633,1.1676735676440346,,,
HWW,172.07437391871366,172.07437391871366,157.34052193301875,141.3674167442639,139.8360171025445,31.52648237756147,1.8007909158066906,0.2610972629742687,0.22221060302833312,0.17502273840783522,,,
Data,1383108.0,1383108.0,,,,250856.0,17962.0,1008.0,996.0,986.0,1270702.0,1193818.0,1182302.0
