,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,40.37595138168004,40.24562311371162
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,993316.6923700877,989163.3767042749
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,93135.75012658036,83592.4950117778
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,8514.045170114525,7670.394507657163
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,13642.420730135134,13599.873478368148
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,19191.407137683662,19106.267676993884
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,839.2346578769535,786.3546772631274
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,185.31843778380136,184.1870667535121
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,61.43284946104251,61.039580106444866
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,58.27408219231849,57.86479150472795
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,101.6619291124468,101.07854248887313
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,8.703674185779557,8.638274400604427
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,255.971220342507,222.2382489673696
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,115.96347685381116,97.08231510162676
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,1167416.0,1151740.0
