,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_up ≥ 300,VVFatJetPt_JER_up ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,4.212152831867275,1.992043000326517,1.992043000326517,1.992043000326517,1.9858583403863088,1.9806416646179514,1.9806416646179514,0.6562134311157858,,
ggHH_kl_2p45_kt_1_HHbbVV,2.9745782884612515,1.5432728900245152,1.5432728900245152,1.5432728900245152,1.5386357184830675,1.535408402703747,1.535408402703747,0.5358210583216941,,
ggHH_kl_5_kt_1_HHbbVV,3.024267581347732,1.6992983771239942,1.6992983771239942,1.6992983771239942,1.6951316637944287,1.690940773491271,1.690940773491271,0.7718118198440417,,
ggHH_kl_0_kt_1_HHbbVV,5.525753766039689,2.5008088076536663,2.5008088076536663,2.5008088076536663,2.492096175198671,2.485480165346472,2.485480165346472,0.8318864959688351,,
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.08080083387529777,0.0471359884176165,0.0471359884176165,0.0471359884176165,0.04697039942054864,0.04680466317679371,0.04680466317679371,0.016526376475821086,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,37.59031628851101,30.684634831131394,30.684634831131394,30.684634831131394,30.645634816019943,30.623662868410257,30.623662868410257,8.167979857987252,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,63.61565564660195,51.09146910173492,51.09146910173492,51.09146910173492,51.02173174042651,50.97817866746364,50.97817866746364,13.706030761543719,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0755132861969917,0.04912744088644729,0.04912744088644729,0.04912744088644729,0.04892080808919949,0.04878741527115518,0.04878741527115518,0.023709633426953702,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,33.59757114342516,28.05713425984107,28.05713425984107,28.05713425984107,28.024002147100603,28.00403233354856,28.00403233354856,7.455859270288145,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.21899698228055675,0.11904051829601674,0.11904051829601674,0.11904051829601674,0.11866054909651852,0.11826527839897755,0.11826527839897755,0.03635497774092145,,
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,20.109831451322012,16.609688285231236,16.609688285231236,16.609688285231236,16.587962865473852,16.575802805213556,16.575802805213556,4.455091325362538,,
QCD,3052764.194451403,1301832.896386517,1396522.353647176,1396522.353647176,1391028.5956037128,1386860.3230924932,1386860.3230924932,1115863.4177218806,,
TT,217539.42041251797,122304.088162081,122304.088162081,122304.088162081,121882.65471417502,121434.29337835914,121434.29337835914,98264.98507101169,,
ST,15175.476848651859,9009.706988812268,9009.706988812268,9009.706988812268,8970.26582068826,8951.617314976598,8951.617314976598,7342.754428078123,,
V+Jets,85869.75128605982,45001.54838412287,45001.54838412287,45001.54838412287,44833.680382348524,44718.0860240263,44718.0860240263,30478.792380200328,,
Diboson,1365.2537297679432,749.3028178092068,749.3028178092068,749.3028178092068,746.9365766134761,744.1831465284095,744.1831465284095,438.6599388825085,,
Data,1573587.0,1573587.0,1573587.0,1573587.0,,,1573587.0,1294132.0,1573587.0,1573587.0
